"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore"
"1",1,"GSW","Joe Smith",16,1030,0.455,0.238,0.79,26.2,10.9,6.4,1,60.3,0.107,"-1.5",3,693,0.588,0.843,1.252,1312,0.785060975609756,"F",3.41211252089865
"2",2,"LAC","Antonio McDyess",15,1015,0.497,0.117,0.67,27.6,12,7.5,1.3,69.8,0.119,"-0.1",13.2,686,0.77,1.086,1.599,1230,0.82520325203252,"F",3.86163758123769
"3",3,"PHI","Jerry Stackhouse",18,970,0.409,0.309,0.822,31.2,16.9,3.2,3.3,52.4,0.083,"0.3",17.4,711,0.896,0.451,2.723,1476,0.657181571815718,"F",5.45043861798754
"4",4,"WSB","Rasheed Wallace",16,1109,0.467,0.336,0.721,32.7,14.4,6.7,1.8,105.1,0.139,"2.2",38.3,739,0.983,1.317,1.527,1312,0.845274390243902,"F",4.64792489777286
"5",5,"MIN","Kevin Garnett",21,1462,0.497,0.275,0.789,34.5,17.8,10,3.7,191.4,0.182,"5.6",96.9,708,1.272,1.393,2.174,1722,0.849012775842044,"F",6.36891656586573
"6",6,"VAN","Bryant Reeves",6,395,0.475,0.074,0.703,30.6,12.5,6.9,1.6,13,0.052,"-3.4",-4.3,735,0.506,0.765,1.884,492,0.802845528455285,"C",3.15682020939513
"7",7,"TOR","Damon Stoudamire",13,878,0.406,0.357,0.833,33.2,13.4,3.5,6.1,55.4,0.091,"0.3",16.8,757,1.085,0.092,2.322,1066,0.823639774859287,"G",6.71824608265169
"8",8,"POR","Shawn Respert",4,172,0.414,0.34,0.816,13.7,4.9,1.3,1,2.1,0.043,"-2.3",-0.2,704,0.529,0.041,0.727,328,0.524390243902439,"G",2.25289747876994
"9",10,"MIA","Kurt Thomas",18,1110,0.486,0.281,0.76,24.5,8.1,6.6,1.1,64.2,0.114,"-0.8",8.6,703,0.652,0.758,1.118,1476,0.752032520325203,"C",2.36601125602538
"10",11,"MIL","Gary Trent",9,506,0.501,0.08,0.643,19.5,8.6,4.5,1,23.2,0.113,"-1",2.4,718,0.441,0.344,1.184,738,0.685636856368564,"F",2.68794042267923
"11",12,"DAL","Cherokee Parks",9,472,0.47,0.211,0.63,15.8,4.4,3.6,0.6,11.8,0.076,"-2.4",-0.7,685,0.439,0.648,0.595,738,0.639566395663957,"F",1.52872024944206
"12",13,"SAC","Corliss Williamson",12,822,0.49,0.136,0.714,22.8,11.1,3.9,1.2,34.7,0.089,"-2",-0.1,722,0.562,0.318,1.601,984,0.835365853658537,"F",3.31159532771768
"13",14,"BOS","Eric Williams",12,658,0.415,0.318,0.736,23.9,8.6,3.3,1.4,23.2,0.071,"-2.4",-1.5,677,0.833,0.157,1.199,984,0.66869918699187,"F",2.74779244844868
"14",15,"DEN","Brent Barry",14,912,0.46,0.405,0.823,25.9,9.3,3,3.2,70.5,0.143,"2.6",27.7,699,1.047,0.277,1.413,1148,0.794425087108014,"G",4.61628328510272
"15",16,"ATL","Alan Henderson",12,652,0.469,0.192,0.639,21.1,7.8,5,0.6,28,0.097,"-1.8",0.6,673,0.558,0.456,1.1,984,0.66260162601626,"F",2.37359953507304
"16",17,"CLE","Bob Sura",10,657,0.414,0.325,0.689,23.7,8.6,3.4,3.8,28.3,0.087,"0.4",9.4,682,0.976,0.216,1.874,820,0.801219512195122,"G",4.52124324310123
"17",18,"DET","Theo Ratliff",16,810,0.496,0,0.71,25.3,7.2,5.7,0.6,47.9,0.112,"0",10.3,689,0.485,2.43,1.236,1312,0.617378048780488,"C",2.05918839150521
"18",20,"CHI","Jason Caffey",8,462,0.481,0,0.637,19.6,7.3,4.4,0.9,13.5,0.072,"-3.6",-3.6,679,0.452,0.238,1.4,656,0.704268292682927,"F",2.28372528995784
"19",21,"PHO","Michael Finley",15,1103,0.444,0.375,0.811,34.4,15.7,4.4,2.9,85.2,0.108,"1",28.8,714,0.903,0.293,1.477,1230,0.896747967479675,"G",7.1197701707471
"20",22,"CHH","George Zidek",3,135,0.408,0.25,0.783,9.8,3.4,2.1,0.2,0.8,0.029,"-7.5",-1.8,678,0.104,0.089,0.511,246,0.548780487804878,"C",0.802461770908073
"21",23,"IND","Travis Best",10,708,0.431,0.345,0.835,21.4,7.6,1.8,3.5,30.9,0.098,"-0.4",6,696,0.934,0.085,1.311,820,0.863414634146341,"G",3.82382116609
"22",24,"DAL","Loren Meyer",3,140,0.432,0.348,0.696,14.6,4.6,3.4,0.6,0.5,0.012,"-7.2",-2.7,684,0.221,0.357,0.95,246,0.56910569105691,"C",1.25267283579945
"23",25,"ORL","David Vaughn",4,118,0.423,0,0.638,9.8,2.9,3.1,0.3,0.6,0.026,"-6.4",-1.3,710,0.263,0.407,0.831,328,0.359756097560976,"F",0.954905159799215
"24",27,"PHO","Mario Bennett",4,68,0.534,0.333,0.511,8.9,4,2.7,0.4,1.9,0.153,"-0.8",0.2,712,0.456,0.324,0.485,328,0.207317073170732,"C",1.07475824512096
