"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore","DraftBin","ExpectedScore","Count","FinalScore"
"1",1,"GSW","Joe Smith",16,1030,0.455,0.238,0.79,26.2,10.9,6.4,1,60.3,0.107,"-1.5",3,693,0.588,0.843,1.252,1312,0.785060975609756,"F",3.59240298755615,"1-15",5.40227744981826,21,-1.80987446226211
"2",2,"LAC","Antonio McDyess",15,1015,0.497,0.117,0.67,27.6,12,7.5,1.3,69.8,0.119,"-0.1",13.2,686,0.77,1.086,1.599,1230,0.82520325203252,"F",4.02932524540549,"1-15",4.31202007317063,20,-0.282694827765138
"3",3,"PHI","Jerry Stackhouse",18,970,0.409,0.309,0.822,31.2,16.9,3.2,3.3,52.4,0.083,"0.3",17.4,711,0.896,0.451,2.723,1476,0.657181571815718,"F",5.71955294213724,"1-15",5.18058806678938,21,0.538964875347856
"4",4,"WSB","Rasheed Wallace",16,1109,0.467,0.336,0.721,32.7,14.4,6.7,1.8,105.1,0.139,"2.2",38.3,739,0.983,1.317,1.527,1312,0.845274390243902,"F",4.90003957529366,"1-15",4.84432781908783,21,0.0557117562058327
"5",5,"MIN","Kevin Garnett",21,1462,0.497,0.275,0.789,34.5,17.8,10,3.7,191.4,0.182,"5.6",96.9,708,1.272,1.393,2.174,1722,0.849012775842044,"F",6.57215129283463,"1-15",4.12639751013355,21,2.44575378270108
"6",6,"VAN","Bryant Reeves",6,395,0.475,0.074,0.703,30.6,12.5,6.9,1.6,13,0.052,"-3.4",-4.3,735,0.506,0.765,1.884,492,0.802845528455285,"C",3.19223993836883,"1-15",3.75387095989043,21,-0.561631021521603
"7",7,"TOR","Damon Stoudamire",13,878,0.406,0.357,0.833,33.2,13.4,3.5,6.1,55.4,0.091,"0.3",16.8,757,1.085,0.092,2.322,1066,0.823639774859287,"G",5.87035113400189,"1-15",4.39397812840409,21,1.54429465102181
"8",8,"POR","Shawn Respert",4,172,0.414,0.34,0.816,13.7,4.9,1.3,1,2.1,0.043,"-2.3",-0.2,704,0.529,0.041,0.727,328,0.524390243902439,"G",1.89434086055454,"1-15",3.46277602238357,20,-1.56843516182903
"9",10,"MIA","Kurt Thomas",18,1110,0.486,0.281,0.76,24.5,8.1,6.6,1.1,64.2,0.114,"-0.8",8.6,703,0.652,0.758,1.118,1476,0.752032520325203,"C",2.37055623405388,"1-15",3.85756897884724,21,-1.48701274479336
"10",11,"MIL","Gary Trent",9,506,0.501,0.08,0.643,19.5,8.6,4.5,1,23.2,0.113,"-1",2.4,718,0.441,0.344,1.184,738,0.685636856368564,"F",2.81629735719953,"1-15",2.79711748836319,20,0.0191798688363374
"11",12,"DAL","Cherokee Parks",9,472,0.47,0.211,0.63,15.8,4.4,3.6,0.6,11.8,0.076,"-2.4",-0.7,685,0.439,0.648,0.595,738,0.639566395663957,"F",1.60064787979796,"1-15",2.48895296394094,19,-0.888305084142985
"12",13,"SAC","Corliss Williamson",12,822,0.49,0.136,0.714,22.8,11.1,3.9,1.2,34.7,0.089,"-2",-0.1,722,0.562,0.318,1.601,984,0.835365853658537,"F",3.50476229038988,"1-15",3.716678058383,21,-0.21191576799312
"13",14,"BOS","Eric Williams",12,658,0.415,0.318,0.736,23.9,8.6,3.3,1.4,23.2,0.071,"-2.4",-1.5,677,0.833,0.157,1.199,984,0.66869918699187,"F",2.89753370272888,"1-15",3.25489603167226,21,-0.357362328943386
