"","Player"
"1","Joe Smith"
"2","Antonio McDyess"
"3","Jerry Stackhouse"
"4","Rasheed Wallace"
"5","Kevin Garnett"
"6","Bryant Reeves"
"7","Damon Stoudamire"
"8","Shawn Respert"
"9","Kurt Thomas"
"10","Gary Trent"
"11","Cherokee Parks"
"12","Corliss Williamson"
"13","Eric Williams"
"14","Brent Barry"
"15","Alan Henderson"
"16","Bob Sura"
"17","Theo Ratliff"
"18","Jason Caffey"
"19","Michael Finley"
"20","George Zidek"
"21","Travis Best"
"22","Loren Meyer"
"23","David Vaughn"
"24","Mario Bennett"
"25","Greg Ostertag"
"26","Cory Alexander"
"27","Andrew DeClercq"
"28","Lawrence Moten"
"29","Donny Marshall"
"30","Eric Snow"
"31","Tyus Edney"
"32","Mark Davis"
"33","Fred Hoiberg"
"34","Chris Carr"
"35","Don Reid"
"36","Allen Iverson"
"37","Marcus Camby"
"38","Shareef Abdur-Rahim"
"39","Stephon Marbury"
"40","Ray Allen"
"41","Antoine Walker"
"42","Lorenzen Wright"
"43","Kerry Kittles"
"44","Samaki Walker"
"45","Erick Dampier"
"46","Todd Fuller"
"47","Vitaly Potapenko"
"48","Kobe Bryant"
"49","Peja Stojakovic"
"50","Steve Nash"
"51","Tony Delk"
"52","Jermaine O'Neal"
"53","John Wallace"
"54","Walter McCarty"
"55","Zydrunas Ilgauskas"
"56","Roy Rogers"
"57","Derek Fisher"
"58","Jerome Williams"
"59","Brian Evans"
"60","Travis Knight"
"61","Othella Harrington"
"62","Mark Hendrickson"
"63","Moochie Norris"
"64","Jeff McInnis"
"65","Randy Livingston"
"66","Ben Davis"
"67","Malik Rose"
"68","Jamie Feick"
"69","Amal McCaskill"
"70","Mark Pope"
"71","Shandon Anderson"
"72","Drew Barry"
"73","Tim Duncan"
"74","Keith Van Horn"
"75","Chauncey Billups"
"76","Antonio Daniels"
"77","Tony Battie"
"78","Ron Mercer"
"79","Tim Thomas"
"80","Adonal Foyle"
"81","Tracy McGrady"
"82","Danny Fortson"
"83","Tariq Abdul-Wahad"
"84","Austin Croshere"
"85","Derek Anderson"
"86","Maurice Taylor"
"87","Kelvin Cato"
"88","Brevin Knight"
"89","Johnny Taylor"
"90","Chris Anstey"
"91","Scot Pollard"
"92","Anthony Parker"
"93","Bobby Jackson"
"94","Rodrick Rhodes"
"95","John Thomas"
"96","Charles Smith"
"97","Jacque Vaughn"
"98","Marc Jackson"
"99","Anthony Johnson"
"100","Stephen Jackson"
"101","Cedric Henderson"
"102","Alvin Williams"
"103","Predrag Drobnjak"
"104","Chris Crawford"
"105","Mark Blount"
"106","Michael Olowokandi"
"107","Mike Bibby"
"108","Raef LaFrentz"
"109","Antawn Jamison"
"110","Vince Carter"
"111","Robert Traylor"
"112","Jason Williams"
"113","Larry Hughes"
"114","Dirk Nowitzki"
"115","Paul Pierce"
"116","Bonzi Wells"
"117","Michael Doleac"
"118","Keon Clark"
"119","Michael Dickerson"
"120","Matt Harpring"
"121","Bryce Drew"
"122","Rasho Nesterovic"
"123","Pat Garrity"
"124","Roshown McLeod"
"125","Ricky Davis"
"126","Brian Skinner"
"127","Tyronn Lue"
"128","Felipe Lopez"
"129","Al Harrington"
"130","Sam Jacobson"
"131","Vladimir Stepania"
"132","Corey Benjamin"
"133","Nazr Mohammed"
"134","Ansu Sesay"
"135","Ruben Patterson"
"136","Rashard Lewis"
"137","Jelani McCoy"
"138","Shammond Williams"
"139","Bruno Sundov"
"140","Jerome James"
"141","Rafer Alston"
"142","Cuttino Mobley"
"143","Jahidi White"
"144","Sean Marks"
"145","Derrick Dial"
"146","Greg Buckner"
"147","Tremaine Fowlkes"
"148","Ryan Bowen"
"149","Maceo Baston"
"150","Elton Brand"
"151","Steve Francis"
"152","Baron Davis"
"153","Lamar Odom"
"154","Jonathan Bender"
"155","Wally Szczerbiak"
"156","Richard Hamilton"
"157","Andre Miller"
"158","Shawn Marion"
"159","Jason Terry"
"160","Trajan Langdon"
"161","Corey Maggette"
"162","William Avery"
"163","Metta World Peace"
"164","Cal Bowdler"
"165","James Posey"
"166","Quincy Lewis"
"167","Dion Glover"
"168","Jeff Foster"
"169","Kenny Thomas"
"170","Devean George"
"171","Andrei Kirilenko"
"172","Tim James"
"173","Vonteego Cummings"
"174","Jumaine Jones"
"175","Scott Padgett"
"176","Michael Ruffin"
"177","Evan Eschmeyer"
"178","Calvin Booth"
"179","Wang Zhizhi"
"180","Obinna Ekezie"
"181","Laron Profit"
"182","Gordan Giricek"
"183","Francisco Elson"
"184","Lee Nailon"
"185","Todd MacCulloch"
"186","Rodney Buford"
"187","Manu Ginobili"
"188","Kenyon Martin"
"189","Stromile Swift"
"190","Darius Miles"
"191","Marcus Fizer"
"192","Mike Miller"
"193","DerMarr Johnson"
"194","Chris Mihm"
"195","Jamal Crawford"
"196","Joel Przybilla"
"197","Keyon Dooling"
"198","Jerome Moiso"
"199","Etan Thomas"
"200","Courtney Alexander"
"201","Mateen Cleaves"
"202","Jason Collier"
"203","Hedo Turkoglu"
"204","Desmond Mason"
"205","Quentin Richardson"
"206","Jamaal Magloire"
"207","Speedy Claxton"
"208","Morris Peterson"
"209","Donnell Harvey"
"210","DeShawn Stevenson"
"211","Dalibor Bagaric"
"212","Jake Tsakalidis"
"213","Mamadou N'Diaye"
"214","Primoz Brezec"
"215","Mark Madsen"
"216","Marko Jaric"
"217","Dan Langhi"
"218","A.J. Guyton"
"219","Jake Voskuhl"
"220","Eddie House"
"221","Eduardo Najera"
"222","Lavor Postell"
"223","Olumide Oyedeji"
