"","Team","AvgFinalScore","MedianFinalScore","Count"
"1","SAS",0.916560228414348,0.988890452187562,19
"2","OKC",0.386666286496706,0.252081813136327,35
"3","PHI",0.371920022439911,0.106165448513219,32
"4","MIL",0.36129016491039,0.126892704022497,32
"5","PHO",0.330504497158575,-0.26450940067534,29
"6","BOS",0.259765702615357,0.521020031696048,30
"7","HOU",0.252946239292406,0.517342421721287,29
"8","GSW",0.222760206439559,-0.335712965083534,25
"9","MIN",0.175136713446575,0.00201017395745207,32
"10","DEN",0.161560611116859,0.13409161476314,23
"11","IND",0.113595946311145,-0.0368804920170929,25
"12","MIA",0.102899426606633,-0.0459521080874314,18
"13","SAC",0.0740318988276836,-0.196442031700529,29
"14","DET",0.0710750103584654,-0.338052589205599,30
"15","CLE",0.0562817111256495,0.326972601606948,35
"16","MEM",0.0459097361623131,-0.423638050353148,29
"17","NOH",-0.0559578380538615,-0.538655856851936,15
"18","WAS",-0.11134887313366,0.0718542205655082,29
"19","CHA",-0.146816500596921,-0.581522531763082,31
"20","TOR",-0.161667589852872,-0.353695321767427,22
"21","CHI",-0.197784238282199,-0.291331483237304,38
"22","LAL",-0.206259275130557,-0.511304757686713,24
"23","NYK",-0.238728073652588,-0.546074177802232,22
"24","UTA",-0.257374172144903,-0.648405381377025,33
"25","POR",-0.259992641696843,-0.696095406363193,30
"26","ATL",-0.279694236733363,-0.541044305529525,30
"27","NJN",-0.359218184024648,-0.582092978782902,25
"28","ORL",-0.50493453397457,-0.833722245184369,27
"29","LAC",-0.555543166668869,-0.787591328110223,22
"30","DAL",-0.843569870651725,-1.02551621018367,20
